"","parameter","forkortelse","enhet","kategori_1","kategori_2","dato","sigevann","verdi","LOQ","verdi_korr","gv_min","gv_max","GV_over","provepunkt","krav"
"95","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-21,"inn","6.6",FALSE,6.6,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"96","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-12-12,"inn","9.6",FALSE,9.6,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"97","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-02-13,"inn","11.6",FALSE,11.6,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"98","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-02-27,"inn","36.299999999999997",FALSE,36.3,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"99","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-03-15,"inn","40.299999999999997",FALSE,40.3,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"100","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-14,"ut","<1,0",TRUE,1,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"101","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-10-24,"ut","<3,0",TRUE,3,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"102","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-10-31,"ut","2.7",FALSE,2.7,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"103","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-07,"ut","1.8",FALSE,1.8,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"104","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-21,"ut","<2,5",TRUE,2.5,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"105","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-12-12,"ut","5.8",FALSE,5.8,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"106","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-02-13,"ut","3.8",FALSE,3.8,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"107","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-02-27,"ut","<1,0",TRUE,1,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"108","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2023-03-15,"ut","<2.5",TRUE,2.5,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"109","Ledningsevne","EC","mS/m","vannparameter","EC",2022-10-24,"inn","426",FALSE,426,NA,NA,FALSE,152,TRUE
"110","Ledningsevne","EC","mS/m","vannparameter","EC",2022-10-31,"inn","362",FALSE,362,NA,NA,FALSE,152,TRUE
"111","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-07,"inn","303",FALSE,303,NA,NA,FALSE,152,TRUE
"112","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-21,"inn","384",FALSE,384,NA,NA,FALSE,152,TRUE
"113","Ledningsevne","EC","mS/m","vannparameter","EC",2022-12-12,"inn","369",FALSE,369,NA,NA,FALSE,152,TRUE
"114","Ledningsevne","EC","mS/m","vannparameter","EC",2023-02-13,"inn","462",FALSE,462,NA,NA,FALSE,152,TRUE
"115","Ledningsevne","EC","mS/m","vannparameter","EC",2023-02-27,"inn","400",FALSE,400,NA,NA,FALSE,152,TRUE
"116","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-14,"inn","263",FALSE,263,NA,NA,FALSE,152,TRUE
"117","Ledningsevne","EC","mS/m","vannparameter","EC",2023-03-15,"inn","406",FALSE,406,NA,NA,FALSE,152,TRUE
"118","Ledningsevne","EC","mS/m","vannparameter","EC",2022-10-24,"ut","420",FALSE,420,NA,NA,FALSE,151,TRUE
"119","Ledningsevne","EC","mS/m","vannparameter","EC",2022-10-31,"ut","351",FALSE,351,NA,NA,FALSE,151,TRUE
"120","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-07,"ut","294",FALSE,294,NA,NA,FALSE,151,TRUE
"121","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-21,"ut","374",FALSE,374,NA,NA,FALSE,151,TRUE
"122","Ledningsevne","EC","mS/m","vannparameter","EC",2022-12-12,"ut","383",FALSE,383,NA,NA,FALSE,151,TRUE
"123","Ledningsevne","EC","mS/m","vannparameter","EC",2023-02-13,"ut","462",FALSE,462,NA,NA,FALSE,151,TRUE
"124","Ledningsevne","EC","mS/m","vannparameter","EC",2023-02-27,"ut","425",FALSE,425,NA,NA,FALSE,151,TRUE
"125","Ledningsevne","EC","mS/m","vannparameter","EC",2022-11-14,"ut","361",FALSE,361,NA,NA,FALSE,151,TRUE
"126","Ledningsevne","EC","mS/m","vannparameter","EC",2023-03-15,"ut","454",FALSE,454,NA,NA,FALSE,151,TRUE
"127","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","0.185",FALSE,0.185,"2",NA,FALSE,152,TRUE
"128","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","0.13800000000000001",FALSE,0.138,"2",NA,FALSE,152,TRUE
"129","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","9.0499999999999997E-2",FALSE,0.0905,"2",NA,FALSE,152,TRUE
"130","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","0.16600000000000001",FALSE,0.166,"2",NA,FALSE,152,TRUE
"131","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","5.8299999999999998E-2",FALSE,0.0583,"2",NA,FALSE,152,TRUE
"132","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","0.192",FALSE,0.192,"2",NA,FALSE,152,TRUE
"133","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","0.114",FALSE,0.114,"2",NA,FALSE,152,TRUE
"134","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","0.221",FALSE,0.221,"2",NA,FALSE,152,TRUE
"135","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","0.30499999999999999",FALSE,0.305,"2",NA,FALSE,152,TRUE
"136","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","2.8199999999999999E-2",FALSE,0.0282,"2",NA,FALSE,151,TRUE
"137","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut","2.98E-2",FALSE,0.0298,"2",NA,FALSE,151,TRUE
"138","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut",NA,NA,NA,"2",NA,NA,151,TRUE
"139","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","3.9600000000000003E-2",FALSE,0.0396,"2",NA,FALSE,151,TRUE
"140","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","3.6499999999999998E-2",FALSE,0.0365,"2",NA,FALSE,151,TRUE
"141","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","6.2E-2",FALSE,0.062,"2",NA,FALSE,151,TRUE
"142","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","2.6499999999999999E-2",FALSE,0.0265,"2",NA,FALSE,151,TRUE
"143","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","0.02",FALSE,0.02,"2",NA,FALSE,151,TRUE
"144","Kvikks<U+00F8>lv (Hg)","Hg","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","1.6199999999999999E-2",FALSE,0.0162,"2",NA,FALSE,151,TRUE
"145","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-14,"inn","570",FALSE,570,"600",NA,FALSE,152,TRUE
"146","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-10-24,"inn","991",FALSE,991,"600",NA,TRUE,152,TRUE
"147","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-10-31,"inn","846",FALSE,846,"600",NA,TRUE,152,TRUE
"148","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-07,"inn","672",FALSE,672,"600",NA,TRUE,152,TRUE
"149","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-21,"inn","1240",FALSE,1240,"600",NA,TRUE,152,TRUE
"150","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-12-12,"inn","829",FALSE,829,"600",NA,TRUE,152,TRUE
"151","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-02-13,"inn","1520",FALSE,1520,"600",NA,TRUE,152,TRUE
"152","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-02-27,"inn","1040",FALSE,1040,"600",NA,TRUE,152,TRUE
"153","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-03-15,"inn","1790",FALSE,1790,"600",NA,TRUE,152,TRUE
"154","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-14,"ut","450",FALSE,450,"600",NA,FALSE,151,TRUE
"155","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-10-24,"ut","799",FALSE,799,"600",NA,TRUE,151,TRUE
"156","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-10-31,"ut","543",FALSE,543,"600",NA,FALSE,151,TRUE
"157","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-07,"ut","472",FALSE,472,"600",NA,FALSE,151,TRUE
"158","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-11-21,"ut","597",FALSE,597,"600",NA,FALSE,151,TRUE
"159","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2022-12-12,"ut","688",FALSE,688,"600",NA,TRUE,151,TRUE
"160","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-02-13,"ut","839",FALSE,839,"600",NA,TRUE,151,TRUE
"161","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-02-27,"ut","646",FALSE,646,"600",NA,TRUE,151,TRUE
"162","KOF-Cr","KOF-Cr","mg/l","vannparameter","organisk materiale",2023-03-15,"ut","432",FALSE,432,"600",NA,FALSE,151,TRUE
"163","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-10-24,"inn","29.7",FALSE,29.7,"50",NA,FALSE,152,TRUE
"164","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-10-31,"inn","35.200000000000003",FALSE,35.2,"50",NA,FALSE,152,TRUE
